rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP[Pa]	T[K]	dT[K]	V[m^3/mol]	dV[m^3/mol]
1.7614e3	5e-2	6.26e9	2e7	340.7	0.4	1.0228e-5	3e-10
1.7871e3	5e-2	6.93e9	2e7	340.7	0.4	1.0081e-5	3e-10
1.8201e3	6e-2	7.64e9	2e7	340.7	0.4	9.8977e-6	3e-10
1.8471e3	6e-2	8.49e9	2e7	340.7	0.4	9.7532e-6	3e-10
1.8642e3	6e-2	8.93e9	3e7	340.7	0.4	9.6640e-6	3e-10
1.8719e3	6e-2	9.25e9	3e7	340.7	0.4	9.6240e-6	3e-10
1.8878e3	6e-2	9.66e9	3e7	340.7	0.4	9.5430e-6	3e-10
1.8952e3	6e-2	9.96e9	3e7	340.7	0.4	9.5056e-6	3e-10
1.5859e3	4e-2	2.73e9	3e7	380.1	0.4	1.1360e-5	3e-10
1.5877e3	4e-2	2.75e9	4e7	380.1	0.4	1.1347e-5	3e-10
1.5917e3	4e-2	2.79e9	3e7	380.1	0.4	1.1318e-5	3e-10
1.5961e3	4e-2	2.86e9	4e7	380.1	0.4	1.1287e-5	3e-10
1.5997e3	4e-2	2.90e9	5e7	380.1	0.4	1.1262e-5	3e-10
1.6008e3	4e-2	2.93e9	3e7	380.1	0.4	1.1254e-5	3e-10
1.6078e3	4e-2	3.04e9	3e7	380.1	0.4	1.1205e-5	3e-10
1.6153e3	4e-2	3.15e9	3e7	380.1	0.4	1.1153e-5	3e-10
1.6215e3	4e-2	3.24e9	3e7	380.2	0.4	1.1110e-5	3e-10
1.6196e3	4e-2	3.24e9	3e7	380.2	0.4	1.1123e-5	3e-10
1.6272e3	4e-2	3.34e9	3e7	380.2	0.4	1.1071e-5	3e-10
1.6363e3	4e-2	3.47e9	3e7	380.2	0.4	1.1010e-5	3e-10
1.6392e3	4e-2	3.52e9	5e7	380.2	0.4	1.0990e-5	3e-10
1.6443e3	5e-2	3.62e9	2e7	380.3	0.4	1.0956e-5	3e-10
1.6505e3	5e-2	3.75e9	4e7	380.2	0.4	1.0915e-5	3e-10
1.6543e3	5e-2	3.80e9	2e7	380.3	0.4	1.0890e-5	3e-10
1.6590e3	5e-2	3.88e9	5e7	380.2	0.4	1.0859e-5	3e-10
1.6628e3	5e-2	4.00e9	3e7	380.2	0.4	1.0834e-5	3e-10
1.6774e3	5e-2	4.28e9	4e7	380.3	0.4	1.0740e-5	3e-10
1.6760e3	5e-2	4.28e9	3e7	380.3	0.4	1.0749e-5	3e-10
1.6834e3	5e-2	4.38e9	4e7	380.4	0.4	1.0702e-5	3e-10
