rho[kg/m^3]	drho[kg/m^3]	P[Pa]	dP_minus[Pa]	dP_plus[Pa]
10288	52	140000000000	20000000000	20000000000
12578	169	335000000000	7000000000	7000000000
13362	190	377000000000	15000000000	65000000000
15353	311	609000000000	20000000000	70000000000
16795	461	945000000000	10000000000	60000000000
17974	338	1.314e+12	40000000000	90000000000
